movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb,id
extreme measures,MichaelApted,J.K.Simmons,PaulGuilfoyle,BillNunn,Crime  Drama  Mystery  Thriller,J.K.Simmons PaulGuilfoyle BillNunn MichaelApted Crime  Drama  Mystery  Thriller,
rock star,StephenHerek,BethGrant,DagmaraDominczyk,MatthewGlave,Drama  Music,BethGrant DagmaraDominczyk MatthewGlave StephenHerek Drama  Music,
white squall,RidleyScott,JeffBridges,JasonMarsden,EthanEmbry,Adventure  Drama,JeffBridges JasonMarsden EthanEmbry RidleyScott Adventure  Drama,
the thing,JohnCarpenter,WilfordBrimley,RichardMasur,DavidClennon,Horror  Mystery  Sci-Fi,WilfordBrimley RichardMasur DavidClennon JohnCarpenter Horror  Mystery  Sci-Fi,
riddick,DavidTwohy,VinDiesel,NolanGerardFunk,BokeemWoodbine,Action  Sci-Fi  Thriller,VinDiesel NolanGerardFunk BokeemWoodbine DavidTwohy Action  Sci-Fi  Thriller,
switchback,JebStuart,GregoryScottCummins,ClaudiaStedelin,TedMarkland,Crime  Mystery  Thriller,GregoryScottCummins ClaudiaStedelin TedMarkland JebStuart Crime  Mystery  Thriller,
texas rangers,SteveMiner,TomSkerritt,UsherRaymond,LeonorVarela,Action  Adventure  Drama  Thriller  Western,TomSkerritt UsherRaymond LeonorVarela SteveMiner Action  Adventure  Drama  Thriller  Western,
city of ember,GilKenan,BillMurray,TobyJones,HarryTreadaway,Adventure  Family  Fantasy  Sci-Fi,BillMurray TobyJones HarryTreadaway GilKenan Adventure  Family  Fantasy  Sci-Fi,
the master,PaulThomasAnderson,MikeHoward,JeffreyW.Jenkins,BruceGoodchild,Drama,MikeHoward JeffreyW.Jenkins BruceGoodchild PaulThomasAnderson Drama,
virgin territory,DavidLeland,HaydenChristensen,RyanCartwright,DavidWalliams,Adventure  Comedy  History  Romance,HaydenChristensen RyanCartwright DavidWalliams DavidLeland Adventure  Comedy  History  Romance,
the express,GaryFleder,DennisQuaid,NicoleBeharie,CharlesS.Dutton,Biography  Drama  Sport,DennisQuaid NicoleBeharie CharlesS.Dutton GaryFleder Biography  Drama  Sport,
the 5th wave,JBlakeson,ChloëGraceMoretz,MaggieSiff,NickRobinson,Action  Adventure  Sci-Fi  Thriller,ChloëGraceMoretz MaggieSiff NickRobinson JBlakeson Action  Adventure  Sci-Fi  Thriller,
creed,RyanCoogler,SylvesterStallone,PhyliciaRashad,GrahamMcTavish,Drama  Sport,SylvesterStallone PhyliciaRashad GrahamMcTavish RyanCoogler Drama  Sport,
the town,BenAffleck,JeremyRenner,JonHamm,OwenBurke,Crime  Drama  Thriller,JeremyRenner JonHamm OwenBurke BenAffleck Crime  Drama  Thriller,
what to expect when you're expecting,KirkJones,AnnaKendrick,DennisQuaid,ThomasLennon,Comedy  Drama  Romance,AnnaKendrick DennisQuaid ThomasLennon KirkJones Comedy  Drama  Romance,
burn after reading,EthanCoen,J.K.Simmons,BradPitt,KevinSussman,Comedy  Drama,J.K.Simmons BradPitt KevinSussman EthanCoen Comedy  Drama,
nim's island,JenniferFlackett,GerardButler,AnthonySimcoe,ChristopherJamesBaker,Adventure  Comedy  Family  Fantasy,GerardButler AnthonySimcoe ChristopherJamesBaker JenniferFlackett Adventure  Comedy  Family  Fantasy,
rush,RonHoward,ChrisHemsworth,OliviaWilde,AlexandraMariaLara,Action  Biography  Drama  Sport,ChrisHemsworth OliviaWilde AlexandraMariaLara RonHoward Action  Biography  Drama  Sport,
magnolia,PaulThomasAnderson,PattonOswalt,NeilFlynn,JimMeskimen,Drama,PattonOswalt NeilFlynn JimMeskimen PaulThomasAnderson Drama,
cop out,KevinSmith,BruceWillis,TracyMorgan,KevinPollak,Action  Comedy  Crime,BruceWillis TracyMorgan KevinPollak KevinSmith Action  Comedy  Crime,
how to be single,ChristianDitter,AlisonBrie,DamonWayansJr.,NicholasBraun,Comedy  Romance,AlisonBrie DamonWayansJr. NicholasBraun ChristianDitter Comedy  Romance,
dolphin tale,CharlesMartinSmith,MorganFreeman,MichaelRoark,HarryConnickJr.,Drama  Family,MorganFreeman MichaelRoark HarryConnickJr. CharlesMartinSmith Drama  Family,
john q,NickCassavetes,DenzelWashington,LauraHarring,AnneHeche,Crime  Drama  Thriller,DenzelWashington LauraHarring AnneHeche NickCassavetes Crime  Drama  Thriller,
blue streak,LesMayfield,PeterGreene,DaveChappelle,TamalaJones,Action  Comedy  Crime  Thriller,PeterGreene DaveChappelle TamalaJones LesMayfield Action  Comedy  Crime  Thriller,
we're the millers,RawsonMarshallThurber,Laura-Leigh,MollyC.Quinn,ThomasLennon,Comedy  Crime,Laura-Leigh MollyC.Quinn ThomasLennon RawsonMarshallThurber Comedy  Crime,
obitaemyy ostrov,FedorBondarchuk,YuliyaSnigir,FedorBondarchuk,AlekseySerebryakov,Action  Adventure  Sci-Fi,YuliyaSnigir FedorBondarchuk AlekseySerebryakov FedorBondarchuk Action  Adventure  Sci-Fi,
breakdown,JonathanMostow,KathleenQuinlan,M.C.Gainey,J.T.Walsh,Action  Crime  Drama  Mystery  Thriller,KathleenQuinlan M.C.Gainey J.T.Walsh JonathanMostow Action  Crime  Drama  Mystery  Thriller,
never say never again,IrvinKershner,BernieCasey,KlausMariaBrandauer,BarbaraCarrera,Action  Adventure  Thriller,BernieCasey KlausMariaBrandauer BarbaraCarrera IrvinKershner Action  Adventure  Thriller,
hot tub time machine,StevePink,CharlieMcDermott,ColletteWolfe,CrystalLowe,Comedy  Sci-Fi,CharlieMcDermott ColletteWolfe CrystalLowe StevePink Comedy  Sci-Fi,
dolphin tale 2,CharlesMartinSmith,MorganFreeman,TaylorBlackwell,HarryConnickJr.,Drama  Family,MorganFreeman TaylorBlackwell HarryConnickJr. CharlesMartinSmith Drama  Family,
reindeer games,JohnFrankenheimer,CharlizeTheron,JamesFrain,ClarenceWilliamsIII,Action  Adventure  Crime  Drama  Family  Fantasy  Romance  Thriller,CharlizeTheron JamesFrain ClarenceWilliamsIII JohnFrankenheimer Action  Adventure  Crime  Drama  Family  Fantasy  Romance  Thriller,
a man apart,F.GaryGray,VinDiesel,JeffKober,LarenzTate,Action  Crime  Drama  Thriller,VinDiesel JeffKober LarenzTate F.GaryGray Action  Crime  Drama  Thriller,
ghosts of mississippi,RobReiner,AlexaPenaVega,VirginiaMadsen,CraigT.Nelson,Drama  History,AlexaPenaVega VirginiaMadsen CraigT.Nelson RobReiner Drama  History,
snow falling on cedars,ScottHicks,RickYune,ReeveCarney,DanielvonBargen,Drama  Mystery  Romance  Thriller,RickYune ReeveCarney DanielvonBargen ScottHicks Drama  Mystery  Romance  Thriller,
the rite,MikaelHåfström,AnthonyHopkins,ColinO'Donoghue,TobyJones,Drama  Horror  Mystery  Thriller,AnthonyHopkins ColinO'Donoghue TobyJones MikaelHåfström Drama  Horror  Mystery  Thriller,
gattaca,AndrewNiccol,BlairUnderwood,XanderBerkeley,MasonGamble,Drama  Sci-Fi  Thriller,BlairUnderwood XanderBerkeley MasonGamble AndrewNiccol Drama  Sci-Fi  Thriller,
isn't she great,AndrewBergman,StockardChanning,NathanLane,JohnLarroquette,Biography  Comedy  Romance,StockardChanning NathanLane JohnLarroquette AndrewBergman Biography  Comedy  Romance,
space chimps,KirkDeMicco,CherylHines,KenanThompson,OmidAbtahi,Adventure  Animation  Comedy  Family  Sci-Fi,CherylHines KenanThompson OmidAbtahi KirkDeMicco Adventure  Animation  Comedy  Family  Sci-Fi,
head of state,ChrisRock,BernieMac,DylanBaker,TracyMorgan,Comedy,BernieMac DylanBaker TracyMorgan ChrisRock Comedy,
the hangover,ToddPhillips,BradleyCooper,RobRiggle,MikeEpps,Comedy,BradleyCooper RobRiggle MikeEpps ToddPhillips Comedy,
ip man 3,WilsonYip,MikeTyson,LynnHung,Kwok-KwanChan,Action  Biography  Drama  History,MikeTyson LynnHung Kwok-KwanChan WilsonYip Action  Biography  Drama  History,
austin powers: the spy who shagged me,JayRoach,MuseWatson,VerneTroyer,RobertWagner,Action  Adventure  Comedy  Crime,MuseWatson VerneTroyer RobertWagner JayRoach Action  Adventure  Comedy  Crime,
batman,TimBurton,MichaelGough,JackPalance,WilliamHootkins,Action  Adventure,MichaelGough JackPalance WilliamHootkins TimBurton Action  Adventure,
there be dragons,RolandJoffé,JordiMollà,DougrayScott,LilyCole,Biography  Drama  War,JordiMollà DougrayScott LilyCole RolandJoffé Biography  Drama  War,
lethal weapon 3,RichardDonner,ReneRusso,NickChinlund,StuartWilson,Action  Crime  Thriller,ReneRusso NickChinlund StuartWilson RichardDonner Action  Crime  Thriller,
the blind side,JohnLeeHancock,CatherineDyer,QuintonAaron,KimDickens,Biography  Drama  Sport,CatherineDyer QuintonAaron KimDickens JohnLeeHancock Biography  Drama  Sport,
rush hour            ,unknown,JonFoo,AimeeGarcia,WendieMalick,Action  Comedy  Crime,JonFoo AimeeGarcia WendieMalick unknown Action  Comedy  Crime,
spy kids,RobertRodriguez,AlexaPenaVega,CheechMarin,DarylSabara,Action  Adventure  Comedy  Family  Sci-Fi,AlexaPenaVega CheechMarin DarylSabara RobertRodriguez Action  Adventure  Comedy  Family  Sci-Fi,
horrible bosses,SethGordon,KevinSpacey,LindsaySloane,ReginaldBallard,Comedy  Crime,KevinSpacey LindsaySloane ReginaldBallard SethGordon Comedy  Crime,
true grit,EthanCoen,MattDamon,JeffBridges,BruceGreen,Adventure  Drama  Western,MattDamon JeffBridges BruceGreen EthanCoen Adventure  Drama  Western,
the devil wears prada,DavidFrankel,MerylStreep,AnneHathaway,RebeccaMader,Comedy  Drama  Romance,MerylStreep AnneHathaway RebeccaMader DavidFrankel Comedy  Drama  Romance,
star trek: the motion picture,RobertWise,LeonardNimoy,NichelleNichols,WalterKoenig,Adventure  Mystery  Sci-Fi,LeonardNimoy NichelleNichols WalterKoenig RobertWise Adventure  Mystery  Sci-Fi,
identity thief,SethGordon,JonFavreau,EricStonestreet,T.I.,Comedy  Crime,JonFavreau EricStonestreet T.I. SethGordon Comedy  Crime,
cape fear,MartinScorsese,RobertDeNiro,RobertMitchum,JoeDonBaker,Crime  Thriller,RobertDeNiro RobertMitchum JoeDonBaker MartinScorsese Crime  Thriller,
21,RobertLuketic,KevinSpacey,JimSturgess,JoshGad,Crime  Drama  Thriller,KevinSpacey JimSturgess JoshGad RobertLuketic Crime  Drama  Thriller,
trainwreck,JuddApatow,AmySchumer,RandallPark,JoshSegarra,Comedy  Romance,AmySchumer RandallPark JoshSegarra JuddApatow Comedy  Romance,
guess who,KevinRodneySullivan,BernieMac,NicoleSullivan,SherriShepherd,Comedy  Romance,BernieMac NicoleSullivan SherriShepherd KevinRodneySullivan Comedy  Romance,
the english patient,AnthonyMinghella,ColinFirth,KristinScottThomas,JürgenProchnow,Drama  Romance  War,ColinFirth KristinScottThomas JürgenProchnow AnthonyMinghella Drama  Romance  War,
l.a. confidential,CurtisHanson,KevinSpacey,MattMcCoy,PaulGuilfoyle,Crime  Drama  Mystery  Thriller,KevinSpacey MattMcCoy PaulGuilfoyle CurtisHanson Crime  Drama  Mystery  Thriller,
sky high,MikeMitchell,MichaelAngarano,KellyPreston,NicholasBraun,Adventure  Comedy  Family  Sci-Fi,MichaelAngarano KellyPreston NicholasBraun MikeMitchell Adventure  Comedy  Family  Sci-Fi,
in & out,FrankOz,TomSelleck,WilfordBrimley,LaurenAmbrose,Comedy,TomSelleck WilfordBrimley LaurenAmbrose FrankOz Comedy,
species,RogerDonaldson,NatashaHenstridge,MargHelgenberger,JordanLund,Action  Horror  Sci-Fi  Thriller,NatashaHenstridge MargHelgenberger JordanLund RogerDonaldson Action  Horror  Sci-Fi  Thriller,
the cell,TarsemSingh,DylanBaker,JakeWeber,JamesGammon,Horror  Sci-Fi  Thriller,DylanBaker JakeWeber JamesGammon TarsemSingh Horror  Sci-Fi  Thriller,
the man in the iron mask,RandallWallace,LeonardoDiCaprio,AnneParillaud,JudithGodrèche,Action  Adventure,LeonardoDiCaprio AnneParillaud JudithGodrèche RandallWallace Action  Adventure,
secretariat,RandallWallace,ScottGlenn,KevinConnolly,DylanWalsh,Biography  Drama  Family  History  Sport,ScottGlenn KevinConnolly DylanWalsh RandallWallace Biography  Drama  Family  History  Sport,
tmnt,KevinMunroe,ChrisEvans,SarahMichelleGellar,Mako,Action  Adventure  Animation  Comedy  Family  Fantasy  Sci-Fi,ChrisEvans SarahMichelleGellar Mako KevinMunroe Action  Adventure  Animation  Comedy  Family  Fantasy  Sci-Fi,
radio,MichaelTollin,AlfreWoodard,RileySmith,DebraWinger,Biography  Drama  Sport,AlfreWoodard RileySmith DebraWinger MichaelTollin Biography  Drama  Sport,
friends with benefits,WillGluck,MilaKunis,JustinTimberlake,MasiOka,Comedy  Romance,MilaKunis JustinTimberlake MasiOka WillGluck Comedy  Romance,
neighbors 2: sorority rising,NicholasStoller,ChloëGraceMoretz,IkeBarinholtz,KierseyClemons,Comedy,ChloëGraceMoretz IkeBarinholtz KierseyClemons NicholasStoller Comedy,
saving mr. banks,JohnLeeHancock,TomHanks,RuthWilson,B.J.Novak,Biography  Comedy  Drama  History  Music,TomHanks RuthWilson B.J.Novak JohnLeeHancock Biography  Comedy  Drama  History  Music,
malcolm x,SpikeLee,DenzelWashington,DelroyLindo,AlFreemanJr.,Biography  Drama  History  Romance,DenzelWashington DelroyLindo AlFreemanJr. SpikeLee Biography  Drama  History  Romance,
this is 40,JuddApatow,CharlyneYi,MaudeApatow,MackenzieAladjem,Comedy,CharlyneYi MaudeApatow MackenzieAladjem JuddApatow Comedy,
old dogs,WaltBecker,RobinWilliams,BernieMac,Ann-Margret,Comedy  Family,RobinWilliams BernieMac Ann-Margret WaltBecker Comedy  Family,
underworld: rise of the lycans,PatrickTatopoulos,CraigParker,KevinGrevioux,StevenMackintosh,Action  Adventure  Fantasy  Sci-Fi  Thriller,CraigParker KevinGrevioux StevenMackintosh PatrickTatopoulos Action  Adventure  Fantasy  Sci-Fi  Thriller,
license to wed,KenKwapis,RobinWilliams,ChristineTaylor,MindyKaling,Comedy  Romance,RobinWilliams ChristineTaylor MindyKaling KenKwapis Comedy  Romance,
the benchwarmers,DennisDugan,JonLovitz,JonHeder,TimMeadows,Comedy  Romance  Sport,JonLovitz JonHeder TimMeadows DennisDugan Comedy  Romance  Sport,
must love dogs,GaryDavidGoldberg,StockardChanning,VictorWebster,ElizabethPerkins,Comedy  Romance,StockardChanning VictorWebster ElizabethPerkins GaryDavidGoldberg Comedy  Romance,
donnie brasco,MikeNewell,JohnnyDepp,AlPacino,AnneHeche,Biography  Crime  Drama,JohnnyDepp AlPacino AnneHeche MikeNewell Biography  Crime  Drama,
resident evil,PaulW.S.Anderson,MillaJovovich,JaymesButler,ColinSalmon,Action  Horror  Sci-Fi,MillaJovovich JaymesButler ColinSalmon PaulW.S.Anderson Action  Horror  Sci-Fi,
the ladykillers,EthanCoen,J.K.Simmons,TomHanks,StephenRoot,Comedy  Crime  Thriller,J.K.Simmons TomHanks StephenRoot EthanCoen Comedy  Crime  Thriller,
max payne,JohnMoore,MilaKunis,BeauBridges,JamieHector,Action  Crime  Drama  Mystery  Thriller,MilaKunis BeauBridges JamieHector JohnMoore Action  Crime  Drama  Mystery  Thriller,
in time,AndrewNiccol,MattBomer,OliviaWilde,JustinTimberlake,Action  Sci-Fi  Thriller,MattBomer OliviaWilde JustinTimberlake AndrewNiccol Action  Sci-Fi  Thriller,
the back-up plan,AlanPoul,DanneelAckles,NoureenDeWulf,TomBosley,Comedy  Romance,DanneelAckles NoureenDeWulf TomBosley AlanPoul Comedy  Romance,
something borrowed,LukeGreenfield,AshleyWilliams,SteveHowey,KirstenDay,Comedy  Drama  Romance,AshleyWilliams SteveHowey KirstenDay LukeGreenfield Comedy  Drama  Romance,
hit the floor            ,unknown,JodiLynO'Keefe,KimberlyElise,LoganBrowning,Drama  Romance,JodiLynO'Keefe KimberlyElise LoganBrowning unknown Drama  Romance,
black knight,GilJunger,TomWilkinson,MarshaThomason,VincentRegan,Adventure  Comedy  Fantasy,TomWilkinson MarshaThomason VincentRegan GilJunger Adventure  Comedy  Fantasy,
the bad news bears,MichaelRitchie,TatumO'Neal,VicMorrow,JoyceVanPatten,Comedy  Drama  Family  Sport,TatumO'Neal VicMorrow JoyceVanPatten MichaelRitchie Comedy  Drama  Family  Sport,
street fighter,StevenE.deSouza,Ming-NaWen,RaulJulia,KylieMinogue,Action  Adventure  Comedy  Thriller,Ming-NaWen RaulJulia KylieMinogue StevenE.deSouza Action  Adventure  Comedy  Thriller,
the pianist,RomanPolanski,EmiliaFox,FrankFinlay,EdStoppard,Biography  Drama  War,EmiliaFox FrankFinlay EdStoppard RomanPolanski Biography  Drama  War,
from hell,AlbertHughes,JohnnyDepp,JasonFlemyng,IanRichardson,Horror  Mystery  Thriller,JohnnyDepp JasonFlemyng IanRichardson AlbertHughes Horror  Mystery  Thriller,
the nativity story,CatherineHardwicke,KeishaCastle-Hughes,HiamAbbass,ShaunToub,Drama  Family  Fantasy,KeishaCastle-Hughes HiamAbbass ShaunToub CatherineHardwicke Drama  Family  Fantasy,
closer,MikeNichols,NataliePortman,JuliaRoberts,ColinStinton,Drama  Romance,NataliePortman JuliaRoberts ColinStinton MikeNichols Drama  Romance,
j. edgar,ClintEastwood,LeonardoDiCaprio,NaomiWatts,KaitlynDever,Biography  Crime  Drama,LeonardoDiCaprio NaomiWatts KaitlynDever ClintEastwood Biography  Crime  Drama,
mirrors,AlexandreAja,JasonFlemyng,CameronBoyce,JulianGlover,Horror  Mystery,JasonFlemyng CameronBoyce JulianGlover AlexandreAja Horror  Mystery,
queen of the damned,MichaelRymer,Aaliyah,LenaOlin,BruceSpence,Drama  Fantasy  Horror,Aaliyah LenaOlin BruceSpence MichaelRymer Drama  Fantasy  Horror,
predator 2,StephenHopkins,AdamBaldwin,RobertDavi,KevinPeterHall,Action  Horror  Sci-Fi,AdamBaldwin RobertDavi KevinPeterHall StephenHopkins Action  Horror  Sci-Fi,
untraceable,GregoryHoblit,BillyBurke,JesseTylerFerguson,JosephCross,Crime  Drama  Thriller,BillyBurke JesseTylerFerguson JosephCross GregoryHoblit Crime  Drama  Thriller,
blast from the past,HughWilson,BrendanFraser,SissySpacek,DouglasSmith,Comedy  Drama  Romance  Sci-Fi,BrendanFraser SissySpacek DouglasSmith HughWilson Comedy  Drama  Romance  Sci-Fi,
flash gordon,MikeHodges,BrianBlessed,WilliamHootkins,SamJ.Jones,Action  Adventure  Sci-Fi,BrianBlessed WilliamHootkins SamJ.Jones MikeHodges Action  Adventure  Sci-Fi,
jersey girl,KevinSmith,StephenRoot,MikeStarr,GeorgeCarlin,Comedy  Drama  Romance,StephenRoot MikeStarr GeorgeCarlin KevinSmith Comedy  Drama  Romance,
alex cross,RobCohen,CicelyTyson,ChadLindberg,CarmenEjogo,Action  Crime  Mystery  Thriller,CicelyTyson ChadLindberg CarmenEjogo RobCohen Action  Crime  Mystery  Thriller,
midnight in the garden of good and evil,ClintEastwood,KevinSpacey,BobGunton,LeonRippy,Crime  Drama  Mystery  Thriller,KevinSpacey BobGunton LeonRippy ClintEastwood Crime  Drama  Mystery  Thriller,
nanny mcphee returns,SusannaWhite,DanielMays,BillBailey,ErosVlahos,Comedy  Family  Fantasy,DanielMays BillBailey ErosVlahos SusannaWhite Comedy  Family  Fantasy,
hoffa,DannyDeVito,FrankWhaley,J.T.Walsh,PaulGuilfoyle,Biography  Crime  Drama,FrankWhaley J.T.Walsh PaulGuilfoyle DannyDeVito Biography  Crime  Drama,
the x files: i want to believe,ChrisCarter,MitchPileggi,CallumRennie,NickiAycox,Drama  Mystery  Sci-Fi  Thriller,MitchPileggi CallumRennie NickiAycox ChrisCarter Drama  Mystery  Sci-Fi  Thriller,
ella enchanted,TommyO'Haver,AnneHathaway,SteveCoogan,JoannaLumley,Comedy  Family  Fantasy  Romance,AnneHathaway SteveCoogan JoannaLumley TommyO'Haver Comedy  Family  Fantasy  Romance,
concussion,PeterLandesman,WillSmith,EddieMarsan,AlbertBrooks,Biography  Drama  Sport,WillSmith EddieMarsan AlbertBrooks PeterLandesman Biography  Drama  Sport,
valiant,GaryChapman,JimBroadbent,OliviaWilliams,PipTorrens,Adventure  Animation  Comedy  Family  War,JimBroadbent OliviaWilliams PipTorrens GaryChapman Adventure  Animation  Comedy  Family  War,
wonder boys,CurtisHanson,RobertDowneyJr.,RipTorn,RichardThomas,Comedy  Drama,RobertDowneyJr. RipTorn RichardThomas CurtisHanson Comedy  Drama,
superhero movie,CraigMazin,DrakeBell,TracyMorgan,MarionRoss,Action  Comedy  Sci-Fi  Thriller,DrakeBell TracyMorgan MarionRoss CraigMazin Action  Comedy  Sci-Fi  Thriller,
broken city,AllenHughes,AlonaTal,JamesRansone,MichaelBeach,Crime  Drama  Thriller,AlonaTal JamesRansone MichaelBeach AllenHughes Crime  Drama  Thriller,
cursed,WesCraven,ShannonElizabeth,PortiadeRossi,DerekMears,Comedy  Horror,ShannonElizabeth PortiadeRossi DerekMears WesCraven Comedy  Horror,
premium rush,DavidKoepp,JosephGordon-Levitt,DaniaRamirez,AasifMandvi,Action  Crime  Thriller,JosephGordon-Levitt DaniaRamirez AasifMandvi DavidKoepp Action  Crime  Thriller,
hot pursuit,AnneFletcher,JimGaffigan,RichardT.Jones,MichaelMosley,Action  Comedy  Crime,JimGaffigan RichardT.Jones MichaelMosley AnneFletcher Action  Comedy  Crime,
the four feathers,ShekharKapur,DjimonHounsou,LucyGordon,AlexJennings,Adventure  Drama  Romance  War,DjimonHounsou LucyGordon AlexJennings ShekharKapur Adventure  Drama  Romance  War,
parker,TaylorHackford,JasonStatham,CliftonCollinsJr.,WendellPierce,Action  Crime  Romance  Thriller,JasonStatham CliftonCollinsJr. WendellPierce TaylorHackford Action  Crime  Romance  Thriller,
wimbledon,RichardLoncraine,KirstenDunst,JonFavreau,AustinNichols,Comedy  Romance  Sport,KirstenDunst JonFavreau AustinNichols RichardLoncraine Comedy  Romance  Sport,
furry vengeance,RogerKumble,BrendanFraser,BrookeShields,MattProkop,Comedy  Family,BrendanFraser BrookeShields MattProkop RogerKumble Comedy  Family,
bait,KimbleRendall,AlexRussell,CaribaHeine,RichardBrancatisano,Action  Horror  Sci-Fi,AlexRussell CaribaHeine RichardBrancatisano KimbleRendall Action  Horror  Sci-Fi,
krull,PeterYates,LiamNeeson,AlunArmstrong,LysetteAnthony,Action  Adventure  Fantasy,LiamNeeson AlunArmstrong LysetteAnthony PeterYates Action  Adventure  Fantasy,
lions for lambs,RobertRedford,MerylStreep,TomCruise,AndrewGarfield,Drama  Thriller  War,MerylStreep TomCruise AndrewGarfield RobertRedford Drama  Thriller  War,
flight of the intruder,JohnMilius,RosannaArquette,DannFlorek,ChristopherRich,Action  Drama  Thriller  War,RosannaArquette DannFlorek ChristopherRich JohnMilius Action  Drama  Thriller  War,
walk hard: the dewey cox story,JakeKasdan,TimMeadows,NatFaxon,MattPrice,Comedy  Music,TimMeadows NatFaxon MattPrice JakeKasdan Comedy  Music,
the shipping news,LasseHallström,KevinSpacey,ScottGlenn,JasonBehr,Drama,KevinSpacey ScottGlenn JasonBehr LasseHallström Drama,
american outlaws,LesMayfield,GregorySmith,RonnyCox,HarrisYulin,Action  Western,GregorySmith RonnyCox HarrisYulin LesMayfield Action  Western,
the young victoria,Jean-MarcVallée,MichielHuisman,JimBroadbent,ThomasKretschmann,Biography  Drama  History  Romance,MichielHuisman JimBroadbent ThomasKretschmann Jean-MarcVallée Biography  Drama  History  Romance,
whiteout,DominicSena,TomSkerritt,BasharRahal,ShawnDoyle,Action  Crime  Mystery  Thriller,TomSkerritt BasharRahal ShawnDoyle DominicSena Action  Crime  Mystery  Thriller,
the tree of life,TerrenceMalick,BradPitt,TyeSheridan,FionaShaw,Drama  Fantasy,BradPitt TyeSheridan FionaShaw TerrenceMalick Drama  Fantasy,
knock off,HarkTsui,PaulSorvino,LelaRochon,RayNicholas,Action  Comedy  Thriller,PaulSorvino LelaRochon RayNicholas HarkTsui Action  Comedy  Thriller,
the order,BrianHelgeland,HeathLedger,MarkAddy,BennoFürmann,Action  Mystery  Thriller,HeathLedger MarkAddy BennoFürmann BrianHelgeland Action  Mystery  Thriller,
punisher: war zone,LexiAlexander,JulieBenz,WayneKnight,ColinSalmon,Action  Crime  Drama  Thriller,JulieBenz WayneKnight ColinSalmon LexiAlexander Action  Crime  Drama  Thriller,
zoom,PeterHewitt,KevinZegers,RipTorn,ThomasF.Wilson,Action  Adventure  Family  Sci-Fi,KevinZegers RipTorn ThomasF.Wilson PeterHewitt Action  Adventure  Family  Sci-Fi,
the walk,RobertZemeckis,JosephGordon-Levitt,SoleymanPierini,JadeKindar-Martin,Adventure  Biography  Drama  Thriller,JosephGordon-Levitt SoleymanPierini JadeKindar-Martin RobertZemeckis Adventure  Biography  Drama  Thriller,
warriors of virtue,RonnyYu,MarleyShelton,LeeArenberg,AngusMacfadyen,Action  Adventure  Fantasy,MarleyShelton LeeArenberg AngusMacfadyen RonnyYu Action  Adventure  Fantasy,
a good year,RidleyScott,ArchiePanjabi,AlbertFinney,RichardCoyle,Comedy  Drama  Romance,ArchiePanjabi AlbertFinney RichardCoyle RidleyScott Comedy  Drama  Romance,
luther            ,unknown,RuthWilson,IndiraVarma,WarrenBrown,Crime  Drama  Mystery  Thriller,RuthWilson IndiraVarma WarrenBrown unknown Crime  Drama  Mystery  Thriller,
radio flyer,RichardDonner,AdamBaldwin,ThomasIanNicholas,JohnHeard,Drama,AdamBaldwin ThomasIanNicholas JohnHeard RichardDonner Drama,
"blood in, blood out",TaylorHackford,DelroyLindo,JesseBorrego,RaymondCruz,Crime  Drama,DelroyLindo JesseBorrego RaymondCruz TaylorHackford Crime  Drama,
smilla's sense of snow,BilleAugust,JimBroadbent,TomWilkinson,JuliaOrmond,Action  Drama  Sci-Fi  Thriller,JimBroadbent TomWilkinson JuliaOrmond BilleAugust Action  Drama  Sci-Fi  Thriller,
femme fatale,BrianDePalma,PeterCoyote,GreggHenry,RieRasmussen,Crime  Drama  Mystery  Thriller,PeterCoyote GreggHenry RieRasmussen BrianDePalma Crime  Drama  Mystery  Thriller,
lion of the desert,MoustaphaAkkad,OliverReed,RodSteiger,JohnGielgud,Biography  Drama  History  War,OliverReed RodSteiger JohnGielgud MoustaphaAkkad Biography  Drama  History  War,
the horseman on the roof,Jean-PaulRappeneau,OlivierMartinez,FrançoisCluzet,IsabelleCarré,Adventure  Drama  Romance  War,OlivierMartinez FrançoisCluzet IsabelleCarré Jean-PaulRappeneau Adventure  Drama  Romance  War,
ride with the devil,AngLee,JeremyW.Auman,JeffreyDover,TobeyMaguire,Drama  Romance  War  Western,JeremyW.Auman JeffreyDover TobeyMaguire AngLee Drama  Romance  War  Western,
biutiful,AlejandroG.Iñárritu,MaricelÁlvarez,HanaaBouchaib,EduardFernández,Drama,MaricelÁlvarez HanaaBouchaib EduardFernández AlejandroG.Iñárritu Drama,
bandidas,JoachimRønning,SalmaHayek,SamShepard,DwightYoakam,Action  Comedy  Crime  Western,SalmaHayek SamShepard DwightYoakam JoachimRønning Action  Comedy  Crime  Western,
black water transit,TonyKaye,BillCobbs,AishaTyler,BeverlyD'Angelo,Crime  Drama,BillCobbs AishaTyler BeverlyD'Angelo TonyKaye Crime  Drama,
the maze runner,WesBall,KiHongLee,AmlAmeen,JacobLatimore,Action  Mystery  Sci-Fi  Thriller,KiHongLee AmlAmeen JacobLatimore WesBall Action  Mystery  Sci-Fi  Thriller,
unfinished business,KenScott,TomWilkinson,JuneDianeRaphael,MelissaMcMeekin,Comedy,TomWilkinson JuneDianeRaphael MelissaMcMeekin KenScott Comedy,
